Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code,nom_standard
France,Saint-Genis-sur-Menthon,saint-genis-sur-menthon,SAINT-GENIS-SUR-MENTHON,01,Saint-Genis-sur-Menthon
France,Saint-Georges-sur-Renon,saint-georges-sur-renon,SAINT-GEORGES-SUR-RENON,01,Saint-Georges-sur-Renon
France,Saint-Germain-de-Joux,saint-germain-de-joux,SAINT-GERMAIN-DE-JOUX,01,Saint-Germain-de-Joux
France,Saint-Germain-les-Paroisses,saint-germain-les-paroisses,SAINT-GERMAIN-LES-PAROISSES,01,Saint-Germain-les-Paroisses
France,Saint-Germain-sur-Renon,saint-germain-sur-renon,SAINT-GERMAIN-SUR-RENON,01,Saint-Germain-sur-Renon
France,Saint-Jean-de-Gonville,saint-jean-de-gonville,SAINT-JEAN-DE-GONVILLE,01,Saint-Jean-de-Gonville
France,Saint-Jean-de-Niost,saint-jean-de-niost,SAINT-JEAN-DE-NIOST,01,Saint-Jean-de-Niost
France,Saint-Jean-de-Thurigneux,saint-jean-de-thurigneux,SAINT-JEAN-DE-THURIGNEUX,01,Saint-Jean-de-Thurigneux
France,Saint-Jean-le-Vieux,saint-jean-le-vieux,SAINT-JEAN-LE-VIEUX,01,Saint-Jean-le-Vieux
France,Saint-Jean-sur-Reyssouze,saint-jean-sur-reyssouze,SAINT-JEAN-SUR-REYSSOUZE,01,Saint-Jean-sur-Reyssouze
France,Saint-Jean-sur-Veyle,saint-jean-sur-veyle,SAINT-JEAN-SUR-VEYLE,01,Saint-Jean-sur-Veyle
France,Sainte-Julie,sainte-julie,SAINTE-JULIE,01,Sainte-Julie
France,Saint-Julien-sur-Reyssouze,saint-julien-sur-reyssouze,SAINT-JULIEN-SUR-REYSSOUZE,01,Saint-Julien-sur-Reyssouze
France,Saint-Julien-sur-Veyle,saint-julien-sur-veyle,SAINT-JULIEN-SUR-VEYLE,01,Saint-Julien-sur-Veyle
France,Saint-Just,saint-just,SAINT-JUST,01,Saint-Just
France,Saint-Laurent-sur-Saône,saint-laurent-sur-saone,SAINT-LAURENT-SUR-SAÔNE,01,Saint-Laurent-sur-Saône
France,Saint-Marcel,saint-marcel,SAINT-MARCEL,01,Saint-Marcel
France,Saint-Martin-de-Bavel,saint-martin-de-bavel,SAINT-MARTIN-DE-BAVEL,01,Saint-Martin-de-Bavel
France,Saint-Martin-du-Frêne,saint-martin-du-frene,SAINT-MARTIN-DU-FRÊNE,01,Saint-Martin-du-Frêne
France,Saint-Martin-du-Mont,saint-martin-du-mont,SAINT-MARTIN-DU-MONT,01,Saint-Martin-du-Mont
France,Saint-Martin-le-Châtel,saint-martin-le-chatel,SAINT-MARTIN-LE-CHÂTEL,01,Saint-Martin-le-Châtel
France,Saint-Maurice-de-Beynost,saint-maurice-de-beynost,SAINT-MAURICE-DE-BEYNOST,01,Saint-Maurice-de-Beynost
France,Saint-Maurice-de-Gourdans,saint-maurice-de-gourdans,SAINT-MAURICE-DE-GOURDANS,01,Saint-Maurice-de-Gourdans
France,Saint-Maurice-de-Rémens,saint-maurice-de-remens,SAINT-MAURICE-DE-RÉMENS,01,Saint-Maurice-de-Rémens
France,Saint-Nizier-le-Bouchoux,saint-nizier-le-bouchoux,SAINT-NIZIER-LE-BOUCHOUX,01,Saint-Nizier-le-Bouchoux
France,Saint-Nizier-le-Désert,saint-nizier-le-desert,SAINT-NIZIER-LE-DÉSERT,01,Saint-Nizier-le-Désert
France,Sainte-Olive,sainte-olive,SAINTE-OLIVE,01,Sainte-Olive
France,Saint-Paul-de-Varax,saint-paul-de-varax,SAINT-PAUL-DE-VARAX,01,Saint-Paul-de-Varax
France,Saint-Rambert-en-Bugey,saint-rambert-en-bugey,SAINT-RAMBERT-EN-BUGEY,01,Saint-Rambert-en-Bugey
France,Saint-Rémy,saint-remy,SAINT-RÉMY,01,Saint-Rémy
France,Saint-Sorlin-en-Bugey,saint-sorlin-en-bugey,SAINT-SORLIN-EN-BUGEY,01,Saint-Sorlin-en-Bugey
France,Saint-Sulpice,saint-sulpice,SAINT-SULPICE,01,Saint-Sulpice
France,Saint-Trivier-de-Courtes,saint-trivier-de-courtes,SAINT-TRIVIER-DE-COURTES,01,Saint-Trivier-de-Courtes
France,Saint-Trivier-sur-Moignans,saint-trivier-sur-moignans,SAINT-TRIVIER-SUR-MOIGNANS,01,Saint-Trivier-sur-Moignans
France,Saint-Vulbas,saint-vulbas,SAINT-VULBAS,01,Saint-Vulbas
France,Salavre,salavre,SALAVRE,01,Salavre
France,Samognat,samognat,SAMOGNAT,01,Samognat
France,Sandrans,sandrans,SANDRANS,01,Sandrans
France,Sault-Brénaz,sault-brenaz,SAULT-BRÉNAZ,01,Sault-Brénaz
France,Sauverny,sauverny,SAUVERNY,01,Sauverny
France,Savigneux,savigneux,SAVIGNEUX,01,Savigneux
France,Ségny,segny,SÉGNY,01,Ségny
France,Seillonnaz,seillonnaz,SEILLONNAZ,01,Seillonnaz
France,Sergy,sergy,SERGY,01,Sergy
France,Sermoyer,sermoyer,SERMOYER,01,Sermoyer
France,Serrières-de-Briord,serrieres-de-briord,SERRIÈRES-DE-BRIORD,01,Serrières-de-Briord
France,Serrières-sur-Ain,serrieres-sur-ain,SERRIÈRES-SUR-AIN,01,Serrières-sur-Ain
France,Servas,servas,SERVAS,01,Servas
France,Servignat,servignat,SERVIGNAT,01,Servignat
France,Seyssel,seyssel,SEYSSEL,01,Seyssel
France,Simandre-sur-Suran,simandre-sur-suran,SIMANDRE-SUR-SURAN,01,Simandre-sur-Suran
France,Sonthonnax-la-Montagne,sonthonnax-la-montagne,SONTHONNAX-LA-MONTAGNE,01,Sonthonnax-la-Montagne
France,Souclin,souclin,SOUCLIN,01,Souclin
France,Sulignat,sulignat,SULIGNAT,01,Sulignat
France,Talissieu,talissieu,TALISSIEU,01,Talissieu
France,Tenay,tenay,TENAY,01,Tenay
France,Thil,thil,THIL,01,Thil
France,Thoiry,thoiry,THOIRY,01,Thoiry
